Mental Health Issue,HIV/AIDS,Tobacco Use,Alcohol Use,Access to Mental Health Services,Access to SRH Education,Physical Activity,Overweight/Obesity,Age Group,Education Level,Coping Mechanism
0.22,0.029,0.12,0.21,0.03,0.67,0.6,0.17,21-25,No Formal Education,Socializing
0.42,0.017,0.13,0.12,0.096,0.63,0.32,0.0,26-30,Tertiary,Isolation
0.27,0.029,0.09,0.25,0.06,0.54,0.26,0.15,21-25,Secondary,Exercise
0.25,0.024,0.1,0.2,0.031,0.58,0.3,0.15,15-20,No Formal Education,Exercise
0.3,0.017,0.13,0.16,0.064,0.72,0.42,0.12,26-30,Tertiary,Socializing
0.28,0.023,0.1,0.13,0.026,0.58,0.41,0.12,26-30,Secondary,Socializing
0.12,0.027,0.1,0.15,0.028,0.7,0.43,0.1,21-25,Primary,Exercise
0.36,0.028,0.03,0.14,0.077,0.69,0.39,0.09,21-25,Primary,Exercise
0.31,0.023,0.11,0.21,0.019,0.71,0.12,0.11,26-30,Tertiary,Seeking Help
0.37,0.021,0.1,0.11,0.06,0.66,0.36,0.09,26-30,No Formal Education,Substance Use
0.3,0.02,0.13,0.18,0.035,0.66,0.38,0.03,21-25,Primary,Socializing
0.31,0.02,0.12,0.11,0.049,0.46,0.46,0.0,15-20,No Formal Education,Seeking Help
0.3,0.029,0.11,0.21,0.034,0.69,0.4,0.09,15-20,Primary,Socializing
0.44,0.014,0.11,0.18,0.024,0.48,0.45,0.0,26-30,No Formal Education,Substance Use
0.28,0.025,0.1,0.17,0.014,0.75,0.21,0.11,21-25,Tertiary,Exercise
0.31,0.014,0.14,0.18,0.075,0.73,0.36,0.13,21-25,Primary,Substance Use
0.46,0.026,0.13,0.13,0.097,0.66,0.34,0.05,26-30,Secondary,Socializing
0.26,0.02,0.09,0.16,0.077,0.71,0.41,0.07,26-30,Tertiary,Socializing
0.32,0.02,0.13,0.13,0.073,0.44,0.45,0.17,21-25,Tertiary,Seeking Help
0.21,0.022,0.15,0.12,0.04,0.55,0.28,0.04,15-20,Secondary,Socializing
0.17,0.027,0.11,0.17,0.06,0.58,0.38,0.16,21-25,Tertiary,Isolation
0.24,0.025,0.14,0.05,0.02,0.72,0.38,0.08,21-25,Tertiary,Seeking Help
0.21,0.022,0.15,0.1,0.095,0.47,0.28,0.08,15-20,Secondary,Exercise
0.42,0.017,0.08,0.17,0.015,0.54,0.22,0.04,15-20,Tertiary,Exercise
0.36,0.017,0.14,0.1,0.062,0.43,0.46,0.16,21-25,Primary,Socializing
0.16,0.021,0.1,0.19,0.067,0.39,0.5,0.14,15-20,Secondary,Exercise
0.16,0.016,0.12,0.13,0.057,0.58,0.4,0.06,15-20,Secondary,Socializing
0.31,0.019,0.1,0.17,0.055,0.59,0.5,0.06,26-30,Secondary,Seeking Help
0.41,0.012,0.12,0.19,0.031,0.72,0.63,-0.0,15-20,Primary,Substance Use
0.22,0.021,0.09,0.11,0.014,0.64,0.39,0.13,15-20,Secondary,Isolation
0.37,0.02,0.1,0.11,0.065,0.59,0.34,0.11,21-25,Secondary,Substance Use
0.5,0.016,0.09,0.07,0.07,0.55,0.41,0.01,15-20,Secondary,Exercise
0.42,0.015,0.13,0.13,0.059,0.54,0.43,0.1,21-25,No Formal Education,Seeking Help
0.48,0.019,0.15,0.05,0.016,0.62,0.41,0.16,15-20,Secondary,Seeking Help
0.39,0.019,0.09,0.06,0.044,0.57,0.37,0.13,26-30,No Formal Education,Seeking Help
0.18,0.024,0.17,0.13,0.041,0.56,0.4,0.03,21-25,Primary,Seeking Help
0.34,0.021,0.1,0.11,0.0,0.63,0.43,0.12,15-20,Primary,Isolation
0.27,0.018,0.12,0.14,0.046,0.7,0.4,0.17,21-25,Secondary,Seeking Help
0.31,0.024,0.1,0.11,0.048,0.66,0.55,0.16,15-20,No Formal Education,Seeking Help
0.29,0.014,0.15,0.11,0.088,0.56,0.52,0.05,21-25,Primary,Socializing
0.49,0.02,0.13,0.21,0.059,0.76,0.32,0.03,21-25,Secondary,Isolation
0.31,0.02,0.13,0.1,0.02,0.54,0.34,0.1,26-30,Secondary,Substance Use
0.26,0.025,0.1,0.16,0.041,0.55,0.32,0.1,21-25,Tertiary,Seeking Help
0.37,0.025,0.13,0.15,0.058,0.69,0.53,0.06,15-20,Tertiary,Socializing
0.32,0.02,0.14,0.16,0.059,0.71,0.4,0.0,15-20,Secondary,Socializing
0.32,0.02,0.11,0.1,0.084,0.48,0.44,0.15,21-25,Tertiary,Substance Use
0.25,0.022,0.13,0.16,0.033,0.59,0.33,0.05,26-30,Secondary,Substance Use
0.29,0.016,0.12,0.18,0.075,0.58,0.34,0.03,21-25,Secondary,Exercise
0.4,0.016,0.14,0.02,0.039,0.56,0.39,0.17,26-30,Tertiary,Seeking Help
0.19,0.021,0.07,0.11,0.019,0.59,0.5,0.07,21-25,Primary,Seeking Help
0.4,0.028,0.1,0.1,0.03,0.64,0.46,0.07,15-20,Tertiary,Socializing
0.24,0.019,0.1,0.09,0.052,0.39,0.44,0.03,15-20,Secondary,Isolation
0.3,0.024,0.12,0.09,0.036,0.61,0.34,0.13,26-30,Secondary,Socializing
0.33,0.019,0.06,0.22,0.079,0.57,0.42,0.1,26-30,Secondary,Seeking Help
0.28,0.015,0.08,0.15,0.079,0.46,0.36,0.17,15-20,Secondary,Socializing
0.29,0.022,0.18,0.08,0.069,0.5,0.54,0.12,26-30,Secondary,Socializing
0.22,0.017,0.11,0.16,0.018,0.52,0.27,0.07,21-25,Primary,Socializing
0.33,0.016,0.07,0.21,0.053,0.6,0.46,0.03,15-20,Secondary,Socializing
0.41,0.022,0.13,0.13,0.045,0.58,0.41,0.11,21-25,Primary,Exercise
0.15,0.022,0.17,0.15,0.047,0.54,0.35,0.05,15-20,Secondary,Exercise
0.37,0.026,0.13,0.13,0.05,0.5,0.59,0.06,21-25,Tertiary,Isolation
0.27,0.024,0.11,0.14,0.054,0.52,0.19,0.14,26-30,Primary,Isolation
0.32,0.023,0.13,0.13,0.072,0.66,0.39,0.14,15-20,Primary,Seeking Help
0.27,0.024,0.14,0.16,0.062,0.52,0.47,0.08,26-30,Secondary,Seeking Help
0.3,0.01,0.11,0.12,0.055,0.53,0.53,0.21,26-30,Secondary,Exercise
0.19,0.018,0.11,0.18,0.049,0.63,0.53,0.11,21-25,Tertiary,Exercise
0.49,0.021,0.13,0.18,0.004,0.48,0.37,0.01,26-30,Secondary,Socializing
0.15,0.025,0.12,0.16,0.065,0.61,0.69,0.08,21-25,Tertiary,Socializing
0.3,0.013,0.04,0.15,0.042,0.6,0.53,0.01,21-25,No Formal Education,Socializing
0.18,0.012,0.14,0.08,0.029,0.59,0.33,0.08,26-30,Tertiary,Seeking Help
0.34,0.012,0.15,0.19,0.075,0.48,0.58,0.08,21-25,Secondary,Isolation
0.13,0.017,0.12,0.15,0.045,0.45,0.46,0.0,15-20,Tertiary,Exercise
0.34,0.022,0.15,0.14,0.073,0.6,0.26,0.15,15-20,Secondary,Socializing
0.25,0.013,0.11,0.21,0.062,0.53,0.45,0.17,21-25,Tertiary,Socializing
0.27,0.018,0.12,0.14,0.022,0.38,0.37,0.19,26-30,Secondary,Socializing
0.33,0.022,0.11,0.24,0.041,0.7,0.4,0.08,21-25,Secondary,Substance Use
0.36,0.019,0.12,0.12,0.019,0.7,0.24,0.09,15-20,Tertiary,Seeking Help
0.38,0.013,0.09,0.12,0.036,0.54,0.34,0.15,21-25,No Formal Education,Socializing
0.19,0.022,0.15,0.2,0.097,0.64,0.43,0.15,21-25,Tertiary,Socializing
0.38,0.024,0.15,0.15,0.054,0.52,0.42,0.08,21-25,No Formal Education,Seeking Help
0.32,0.015,0.17,0.18,0.023,0.47,0.25,0.16,26-30,Tertiary,Socializing
0.42,0.018,0.13,0.13,0.047,0.72,0.45,0.16,21-25,No Formal Education,Substance Use
0.21,0.015,0.12,0.12,0.051,0.64,0.6,0.15,21-25,Tertiary,Exercise
0.26,0.031,0.12,0.23,0.014,0.69,0.46,0.11,15-20,Secondary,Seeking Help
0.22,0.02,0.14,0.13,0.046,0.69,0.34,0.09,21-25,Secondary,Socializing
0.36,0.017,0.12,0.16,0.037,0.51,0.53,0.06,26-30,Primary,Seeking Help
0.38,0.021,0.15,0.19,0.041,0.3,0.22,0.09,15-20,Secondary,Socializing
0.38,0.014,0.15,0.11,0.059,0.74,0.3,0.1,21-25,Primary,Isolation
0.32,0.021,0.06,0.16,0.043,0.39,0.34,0.14,21-25,Primary,Substance Use
0.3,0.02,0.12,0.11,0.064,0.55,0.54,0.08,26-30,Primary,Isolation
0.42,0.025,0.11,0.19,0.053,0.46,0.42,0.18,15-20,Secondary,Socializing
0.19,0.012,0.08,0.07,0.092,0.51,0.28,0.13,26-30,Secondary,Exercise
0.18,0.02,0.14,0.27,0.048,0.74,0.33,0.09,26-30,Secondary,Socializing
0.38,0.021,0.12,0.17,0.059,0.69,0.46,0.13,26-30,Tertiary,Socializing
0.14,0.018,0.11,0.18,0.036,0.51,0.52,0.2,15-20,Tertiary,Substance Use
0.48,0.028,0.11,0.11,0.029,0.78,0.59,0.11,15-20,Primary,Substance Use
0.31,0.015,0.13,0.18,0.065,0.61,0.53,0.13,26-30,Tertiary,Exercise
0.51,0.02,0.12,0.13,0.07,0.64,0.44,0.15,15-20,Primary,Socializing
0.23,0.015,0.17,0.07,0.073,0.66,0.51,0.1,26-30,Secondary,Exercise
0.25,0.015,0.17,0.19,0.058,0.48,0.44,0.12,26-30,Tertiary,Socializing
0.35,0.029,0.08,0.14,0.046,0.64,0.38,0.04,15-20,Secondary,Socializing
0.15,0.018,0.12,0.06,0.052,0.83,0.36,0.07,26-30,Tertiary,Seeking Help
0.24,0.022,0.11,0.27,0.052,0.53,0.41,0.09,26-30,Secondary,Seeking Help
0.23,0.014,0.13,0.09,0.021,0.63,0.31,0.05,26-30,No Formal Education,Isolation
0.22,0.019,0.1,0.15,0.068,0.77,0.51,0.0,15-20,Tertiary,Exercise
0.36,0.023,0.17,0.13,0.028,0.7,0.44,0.16,26-30,Primary,Isolation
0.2,0.015,0.16,0.09,0.063,0.58,0.34,0.11,26-30,Secondary,Seeking Help
0.34,0.018,0.14,0.17,0.009,0.5,0.3,0.17,15-20,Secondary,Isolation
0.44,0.023,0.1,0.07,0.073,0.6,0.5,0.02,15-20,Tertiary,Exercise
0.33,0.03,0.09,0.18,0.035,0.56,0.42,0.12,21-25,Primary,Substance Use
0.29,0.016,0.16,0.12,0.049,0.54,0.35,0.15,26-30,Tertiary,Exercise
0.21,0.023,0.09,0.1,0.036,0.49,0.43,0.17,15-20,Primary,Seeking Help
0.13,0.023,0.13,0.12,0.074,0.56,0.4,0.02,15-20,Tertiary,Isolation
0.35,0.023,0.12,0.15,0.041,0.64,0.34,0.0,21-25,Secondary,Exercise
0.34,0.018,0.09,0.18,0.045,0.41,0.6,0.13,21-25,No Formal Education,Exercise
0.42,0.016,0.12,0.05,0.063,0.53,0.32,0.15,15-20,Primary,Isolation
0.36,0.026,0.11,0.15,0.027,0.58,0.32,0.1,21-25,Secondary,Substance Use
0.32,0.013,0.12,0.07,0.042,0.64,0.25,0.15,15-20,Tertiary,Socializing
0.36,0.016,0.08,0.01,0.074,0.68,0.32,0.18,26-30,Tertiary,Seeking Help
0.29,0.026,0.07,0.27,0.076,0.64,0.36,0.11,26-30,Tertiary,Socializing
0.14,0.014,0.15,0.15,0.058,0.61,0.32,0.05,21-25,No Formal Education,Isolation
0.27,0.019,0.12,0.17,0.047,0.61,0.36,0.16,15-20,Secondary,Isolation
0.31,0.028,0.11,0.11,0.061,0.51,0.42,0.15,26-30,Secondary,Seeking Help
0.19,0.018,0.14,0.13,0.058,0.58,0.42,0.13,21-25,No Formal Education,Exercise
0.39,0.016,0.12,0.13,0.039,0.59,0.33,0.1,15-20,Primary,Seeking Help
0.29,0.013,0.08,0.21,0.045,0.59,0.4,0.14,21-25,Secondary,Seeking Help
0.12,0.018,0.07,0.15,0.023,0.7,0.46,0.14,21-25,Secondary,Isolation
0.19,0.023,0.11,0.21,0.066,0.55,0.57,0.12,15-20,Primary,Seeking Help
0.46,0.017,0.13,0.08,0.075,0.65,0.28,0.16,21-25,Secondary,Socializing
0.36,0.02,0.11,0.17,0.047,0.39,0.45,0.12,26-30,Primary,Socializing
0.22,0.017,0.07,0.15,0.058,0.89,0.45,0.06,15-20,Secondary,Seeking Help
0.37,0.024,0.1,0.17,0.083,0.63,0.24,0.17,15-20,Secondary,Exercise
0.33,0.025,0.11,0.1,0.044,0.62,0.22,0.08,15-20,No Formal Education,Substance Use
0.45,0.019,0.17,0.12,0.065,0.51,0.45,0.16,26-30,Secondary,Socializing
0.55,0.027,0.15,0.14,0.058,0.61,0.31,0.18,26-30,Secondary,Isolation
0.21,0.021,0.13,0.17,0.024,0.63,0.38,0.08,15-20,Secondary,Isolation
0.3,0.021,0.13,0.15,0.081,0.37,0.41,0.04,15-20,Secondary,Socializing
0.49,0.012,0.13,0.16,0.044,0.63,0.56,0.16,21-25,Tertiary,Exercise
0.38,0.019,0.16,0.05,0.02,0.53,0.55,0.16,15-20,Primary,Isolation
0.2,0.02,0.07,0.11,0.057,0.37,0.49,0.12,15-20,Tertiary,Seeking Help
0.47,0.022,0.14,0.09,0.0,0.42,0.4,0.08,21-25,No Formal Education,Seeking Help
0.38,0.017,0.11,0.14,0.009,0.5,0.54,0.09,15-20,Tertiary,Seeking Help
0.46,0.016,0.14,0.22,0.051,0.63,0.24,0.12,26-30,Secondary,Isolation
0.18,0.027,0.13,0.23,0.059,0.81,0.46,0.09,26-30,Secondary,Isolation
0.19,0.024,0.11,0.12,0.05,0.63,0.29,0.04,21-25,Primary,Isolation
0.29,0.028,0.12,0.13,0.04,0.82,0.38,0.1,21-25,Primary,Seeking Help
0.35,0.015,0.12,0.05,0.06,0.68,0.49,0.18,15-20,Tertiary,Exercise
0.19,0.022,0.1,0.21,0.07,0.62,0.39,0.12,21-25,Primary,Isolation
0.4,0.019,0.12,0.13,0.052,0.66,0.39,0.14,15-20,Secondary,Substance Use
0.53,0.015,0.08,0.17,0.056,0.41,0.36,0.19,26-30,Primary,Exercise
0.24,0.019,0.1,0.18,0.024,0.55,0.35,0.22,26-30,Primary,Seeking Help
0.23,0.013,0.11,0.13,0.024,0.46,0.42,0.08,21-25,Secondary,Seeking Help
0.48,0.017,0.11,0.11,0.07,0.63,0.41,0.12,21-25,No Formal Education,Socializing
0.25,0.023,0.13,0.16,0.062,0.74,0.34,0.06,15-20,Secondary,Exercise
0.16,0.026,0.09,0.16,0.069,0.59,0.52,0.1,21-25,Secondary,Substance Use
0.45,0.017,0.1,0.18,0.039,0.67,0.34,0.06,21-25,No Formal Education,Seeking Help
0.37,0.027,0.14,0.09,0.046,0.54,0.25,0.16,15-20,Tertiary,Exercise
0.45,0.01,0.16,0.19,0.084,0.84,0.54,0.03,21-25,Secondary,Socializing
0.3,0.022,0.15,0.14,0.053,0.67,0.29,0.18,26-30,Secondary,Seeking Help
0.31,0.018,0.12,0.12,0.068,0.64,0.28,0.04,21-25,Secondary,Seeking Help
0.27,0.018,0.11,0.09,0.048,0.68,0.54,0.12,21-25,Primary,Isolation
0.26,0.01,0.11,0.11,0.076,0.61,0.51,0.07,26-30,Secondary,Substance Use
0.25,0.017,0.11,0.05,0.082,0.39,0.43,0.1,21-25,Secondary,Exercise
0.21,0.017,0.14,0.2,0.088,0.67,0.33,0.13,26-30,Tertiary,Isolation
0.23,0.013,0.1,0.17,0.072,0.63,0.22,0.16,15-20,Secondary,Seeking Help
0.26,0.019,0.14,0.19,0.025,0.52,0.55,0.08,26-30,Secondary,Socializing
0.33,0.02,0.12,0.17,0.032,0.48,0.47,0.06,21-25,Tertiary,Seeking Help
0.44,0.021,0.14,0.16,0.066,0.69,0.35,0.12,15-20,Secondary,Substance Use
0.13,0.017,0.09,0.18,0.0,0.63,0.43,0.11,21-25,Secondary,Socializing
0.34,0.02,0.11,0.2,0.05,0.6,0.26,0.12,21-25,Secondary,Isolation
0.13,0.024,0.09,0.29,0.042,0.79,0.27,0.06,26-30,No Formal Education,Isolation
0.35,0.025,0.18,0.14,0.061,0.53,0.28,0.16,15-20,No Formal Education,Exercise
0.12,0.024,0.11,0.13,0.036,0.52,0.34,0.0,15-20,Primary,Seeking Help
0.12,0.024,0.09,0.12,0.072,0.74,0.33,0.08,15-20,Tertiary,Isolation
0.35,0.021,0.09,0.17,0.078,0.66,0.34,0.09,15-20,No Formal Education,Socializing
0.32,0.026,0.1,0.2,0.022,0.66,0.48,0.08,15-20,No Formal Education,Exercise
0.16,0.022,0.13,0.19,0.017,0.54,0.36,0.08,15-20,Tertiary,Seeking Help
0.41,0.019,0.12,0.04,0.025,0.55,0.36,0.08,21-25,Secondary,Exercise
0.27,0.012,0.15,0.13,0.029,0.49,0.53,0.07,21-25,Secondary,Seeking Help
0.35,0.013,0.14,0.13,0.004,0.64,0.35,0.04,26-30,Primary,Seeking Help
0.4,0.013,0.16,0.2,0.072,0.75,0.36,0.08,26-30,Secondary,Seeking Help
0.47,0.023,0.09,0.13,0.069,0.48,0.53,0.1,15-20,Primary,Seeking Help
0.3,0.016,0.09,0.2,0.042,0.68,0.38,0.06,15-20,Secondary,Socializing
0.2,0.016,0.13,0.24,0.047,0.64,0.46,0.08,21-25,Secondary,Seeking Help
0.41,0.018,0.17,0.16,0.023,0.61,0.24,0.18,15-20,Tertiary,Exercise
0.44,0.015,0.14,0.1,0.046,0.67,0.35,0.07,21-25,Secondary,Isolation
0.39,0.02,0.12,0.06,0.012,0.49,0.4,0.11,26-30,Secondary,Seeking Help
0.34,0.012,0.12,0.2,0.029,0.66,0.54,0.17,21-25,Tertiary,Exercise
0.42,0.023,0.06,0.16,0.048,0.61,0.37,0.07,21-25,Secondary,Exercise
0.27,0.022,0.13,0.12,0.051,0.63,0.51,0.11,15-20,Tertiary,Exercise
0.3,0.019,0.08,0.25,0.042,0.59,0.41,0.11,26-30,Secondary,Exercise
0.38,0.017,0.19,0.21,0.069,0.78,0.52,0.07,21-25,Secondary,Seeking Help
0.34,0.021,0.15,0.19,0.074,0.58,0.34,0.01,21-25,No Formal Education,Socializing
0.4,0.025,0.18,0.09,0.062,0.52,0.33,0.15,15-20,Secondary,Seeking Help
0.14,0.01,0.1,0.13,0.045,0.58,0.35,0.12,21-25,Secondary,Isolation
0.28,0.023,0.09,0.03,0.055,0.57,0.34,0.13,21-25,Secondary,Socializing
0.39,0.019,0.15,0.17,0.053,0.53,0.43,0.04,21-25,Tertiary,Seeking Help
0.29,0.017,0.14,0.19,0.0,0.69,0.44,0.07,26-30,Primary,Exercise
0.37,0.018,0.14,0.17,0.037,0.65,0.45,0.17,15-20,Secondary,Isolation
0.26,0.014,0.15,0.21,0.043,0.54,0.22,0.11,15-20,Secondary,Socializing
0.44,0.011,0.15,0.17,0.042,0.63,0.41,0.17,15-20,No Formal Education,Isolation
0.27,0.023,0.13,0.14,0.07,0.55,0.43,0.17,21-25,Tertiary,Isolation
0.22,0.023,0.13,0.21,0.072,0.58,0.29,0.04,26-30,Secondary,Seeking Help
0.28,0.02,0.1,0.15,0.029,0.47,0.5,0.07,26-30,Secondary,Socializing
0.39,0.025,0.1,0.16,0.051,0.63,0.44,0.09,21-25,Tertiary,Seeking Help
0.28,0.025,0.14,0.17,0.029,0.61,0.29,0.01,26-30,Primary,Seeking Help
0.07,0.023,0.12,0.2,0.05,0.43,0.46,0.14,21-25,Secondary,Exercise
0.23,0.024,0.14,0.18,0.073,0.57,0.36,0.03,21-25,Tertiary,Seeking Help
0.3,0.025,0.17,0.18,0.047,0.66,0.36,0.09,21-25,Secondary,Seeking Help
0.31,0.022,0.14,0.03,0.06,0.67,0.3,0.0,15-20,Secondary,Socializing
0.38,0.019,0.11,0.12,0.06,0.64,0.36,0.12,15-20,Secondary,Seeking Help
0.25,0.019,0.09,0.08,0.069,0.57,0.52,0.16,26-30,Tertiary,Seeking Help
0.24,0.019,0.11,0.23,0.054,0.49,0.43,0.11,21-25,No Formal Education,Isolation
0.3,0.015,0.09,0.09,0.04,0.53,0.31,0.08,15-20,Tertiary,Socializing
0.26,0.023,0.1,0.12,0.063,0.52,0.46,0.14,21-25,Secondary,Seeking Help
0.27,0.019,0.07,0.26,0.046,0.61,0.32,0.12,21-25,Primary,Isolation
0.23,0.025,0.09,0.16,0.062,0.6,0.36,0.07,21-25,Secondary,Substance Use
0.38,0.016,0.13,0.25,0.045,0.73,0.29,0.17,21-25,Secondary,Socializing
0.46,0.029,0.08,0.12,0.051,0.53,0.26,0.09,21-25,Secondary,Seeking Help
0.1,0.016,0.09,0.04,0.062,0.71,0.48,0.14,26-30,Primary,Seeking Help
0.26,0.014,0.15,0.21,0.011,0.62,0.39,0.13,15-20,Tertiary,Seeking Help
0.41,0.022,0.14,0.17,0.02,0.62,0.34,0.11,26-30,Secondary,Exercise
0.32,0.025,0.1,0.13,0.033,0.81,0.47,0.09,26-30,Secondary,Substance Use
0.28,0.02,0.19,0.1,0.036,0.53,0.33,0.11,21-25,Secondary,Socializing
0.47,0.021,0.13,0.19,0.055,0.82,0.55,0.05,21-25,Secondary,Seeking Help
0.24,0.018,0.1,0.14,0.028,0.51,0.32,0.15,26-30,Primary,Isolation
0.37,0.016,0.18,0.17,0.077,0.72,0.3,0.16,26-30,Secondary,Seeking Help
0.36,0.019,0.15,0.14,0.037,0.64,0.35,0.16,26-30,Secondary,Substance Use
0.18,0.017,0.21,0.13,0.058,0.45,0.29,0.13,26-30,Secondary,Exercise
0.27,0.024,0.16,0.18,0.034,0.7,0.45,0.07,15-20,Tertiary,Seeking Help
0.31,0.025,0.14,0.22,0.061,0.68,0.37,0.06,21-25,Tertiary,Seeking Help
0.42,0.015,0.1,0.2,0.005,0.67,0.34,0.05,26-30,Tertiary,Seeking Help
0.48,0.012,0.17,0.11,0.061,0.58,0.33,0.0,15-20,Primary,Seeking Help
0.27,0.026,0.06,0.07,0.043,0.6,0.19,0.07,15-20,Tertiary,Exercise
0.36,0.016,0.06,0.16,0.066,0.54,0.24,0.18,26-30,No Formal Education,Socializing
0.38,0.014,0.19,0.05,0.047,0.52,0.51,0.15,21-25,Secondary,Seeking Help
0.35,0.024,0.09,0.15,0.065,0.54,0.47,0.09,21-25,Secondary,Socializing
0.23,0.023,0.09,0.15,0.028,0.52,0.48,0.15,21-25,Secondary,Seeking Help
0.31,0.025,0.08,0.19,0.021,0.63,0.56,0.08,15-20,Primary,Socializing
0.38,0.011,0.1,0.17,0.047,0.68,0.53,0.11,26-30,Tertiary,Isolation
0.24,0.019,0.15,0.17,0.076,0.64,0.47,0.09,21-25,Primary,Seeking Help
0.19,0.018,0.12,0.17,0.038,0.7,0.31,0.12,26-30,Primary,Exercise
0.16,0.024,0.12,0.14,0.048,0.6,0.58,0.13,15-20,Primary,Substance Use
0.32,0.02,0.11,0.15,0.004,0.71,0.3,0.0,26-30,Tertiary,Exercise
0.12,0.012,0.15,0.18,0.064,0.66,0.41,0.11,26-30,Tertiary,Exercise
0.22,0.024,0.11,0.16,0.057,0.36,0.29,0.06,15-20,Tertiary,Socializing
0.14,0.017,0.18,0.13,0.086,0.69,0.43,0.1,26-30,Secondary,Socializing
0.2,0.022,0.1,0.19,0.032,0.46,0.47,0.04,15-20,No Formal Education,Isolation
0.26,0.016,0.19,0.17,0.036,0.71,0.34,0.19,15-20,Tertiary,Isolation
0.15,0.016,0.13,0.14,0.075,0.59,0.2,0.19,21-25,No Formal Education,Socializing
0.26,0.019,0.18,0.12,0.049,0.62,0.38,0.13,15-20,Secondary,Isolation
0.19,0.018,0.17,0.12,0.066,0.57,0.58,0.11,15-20,No Formal Education,Isolation
0.3,0.025,0.11,0.1,0.025,0.66,0.59,0.18,15-20,Tertiary,Socializing
0.22,0.004,0.12,0.14,0.013,0.53,0.43,0.15,21-25,No Formal Education,Exercise
0.4,0.021,0.11,0.18,0.015,0.59,0.39,0.08,15-20,No Formal Education,Seeking Help
0.34,0.021,0.11,0.06,0.037,0.69,0.61,0.13,21-25,Secondary,Substance Use
0.19,0.024,0.16,0.13,0.062,0.65,0.51,0.04,15-20,Secondary,Socializing
0.38,0.025,0.08,0.05,0.054,0.39,0.5,0.08,15-20,Secondary,Seeking Help
0.17,0.017,0.12,0.1,0.099,0.58,0.49,0.12,15-20,Secondary,Seeking Help
0.37,0.022,0.09,0.15,0.036,0.72,0.46,0.11,15-20,Tertiary,Socializing
0.49,0.02,0.13,0.2,0.075,0.57,0.26,0.06,15-20,Tertiary,Seeking Help
0.34,0.014,0.12,0.18,0.05,0.59,0.36,0.05,26-30,Tertiary,Socializing
0.19,0.016,0.13,0.03,0.048,0.53,0.45,0.08,15-20,Primary,Isolation
0.28,0.021,0.1,0.19,0.019,0.62,0.4,0.06,21-25,Tertiary,Seeking Help
0.26,0.023,0.14,0.02,0.093,0.56,0.38,0.07,26-30,Tertiary,Isolation
0.23,0.016,0.14,0.12,0.08,0.69,0.26,0.05,26-30,Primary,Socializing
0.28,0.014,0.15,0.1,0.074,0.66,0.37,0.03,21-25,Secondary,Isolation
0.29,0.022,0.12,0.11,0.062,0.72,0.38,0.18,15-20,Primary,Isolation
0.37,0.016,0.16,0.16,0.008,0.67,0.3,0.21,26-30,Secondary,Exercise
0.36,0.015,0.11,0.18,0.067,0.61,0.48,0.08,15-20,No Formal Education,Socializing
0.38,0.017,0.08,0.19,0.05,0.65,0.47,0.12,26-30,Tertiary,Socializing
0.16,0.027,0.13,0.25,0.064,0.52,0.35,0.07,15-20,Tertiary,Isolation
0.18,0.026,0.12,0.14,0.075,0.72,0.47,0.03,15-20,Primary,Seeking Help
0.41,0.025,0.1,0.05,0.071,0.68,0.54,0.05,15-20,Primary,Seeking Help
0.28,0.028,0.13,0.07,0.061,0.53,0.42,0.06,15-20,Secondary,Exercise
0.32,0.021,0.08,0.16,0.058,0.51,0.47,0.1,21-25,Secondary,Exercise
0.32,0.021,0.12,0.18,0.046,0.59,0.38,0.01,15-20,Primary,Seeking Help
0.24,0.014,0.14,0.18,0.032,0.67,0.44,0.15,26-30,Secondary,Socializing
0.29,0.019,0.11,0.06,0.048,0.57,0.39,0.05,26-30,No Formal Education,Substance Use
0.24,0.023,0.09,0.11,0.011,0.6,0.29,0.13,21-25,Primary,Socializing
0.14,0.018,0.12,0.19,0.027,0.49,0.27,0.0,21-25,Secondary,Socializing
0.25,0.016,0.15,0.26,0.047,0.72,0.48,0.13,26-30,Tertiary,Socializing
0.37,0.023,0.12,0.18,0.002,0.62,0.49,0.1,26-30,Secondary,Socializing
0.26,0.019,0.14,0.1,0.012,0.46,0.47,0.12,21-25,Tertiary,Isolation
0.35,0.021,0.14,0.07,0.023,0.69,0.5,0.09,15-20,Secondary,Seeking Help
0.3,0.022,0.09,0.14,0.046,0.65,0.51,0.12,21-25,Secondary,Socializing
0.4,0.01,0.1,0.11,0.062,0.48,0.41,0.1,21-25,Secondary,Substance Use
0.42,0.023,0.16,0.24,0.047,0.52,0.48,0.11,21-25,No Formal Education,Isolation
0.32,0.015,0.14,0.22,0.025,0.68,0.21,0.1,15-20,Secondary,Socializing
0.37,0.021,0.11,0.18,0.062,0.65,0.26,0.11,21-25,Primary,Socializing
0.26,0.018,0.15,0.1,0.092,0.62,0.44,0.06,21-25,Primary,Isolation
0.15,0.015,0.16,0.16,0.023,0.54,0.49,0.1,21-25,Tertiary,Seeking Help
0.11,0.022,0.09,0.13,0.024,0.86,0.29,0.0,15-20,Secondary,Isolation
0.3,0.014,0.11,0.13,0.052,0.49,0.35,0.06,21-25,Tertiary,Exercise
0.17,0.022,0.1,0.25,0.097,0.48,0.49,0.11,15-20,Secondary,Seeking Help
0.46,0.02,0.12,0.12,0.046,0.75,0.19,0.09,21-25,Tertiary,Socializing
